order_id,order_date,delivery_date,customer,product,plant,supplier_id,quantity,unit_price,discount_pct,revenue,status
ORD_00001,2024-10-16,2024-10-22,Denso,Brake Assembly,Plant_Delhi,SUP_019,101,5984.09,0.037,582030.55,Pending
ORD_00002,2023-02-02,2023-02-05,Sona Comstar,Control Panel,Plant_Pune,SUP_018,241,1905.38,0.076,424297.64,Pending
ORD_00003,2023-08-14,2023-08-31,Denso,PCB Assembly,Plant_Chennai,SUP_009,1256,2369.89,0.13,2589626.2,Delivered
ORD_00004,2023-08-09,2023-09-05,BMW,Sensor Array,Plant_Chennai,SUP_002,739,997.24,0.057,694953.62,Pending
ORD_00005,2024-07-03,2024-07-09,Mahindra,Sensor Array,Plant_Pune,SUP_003,1938,3152.57,0.083,5602577.17,Delivered
ORD_00006,2024-11-08,2024-11-18,Maruti Suzuki,Brake Assembly,Plant_Ahmedabad,SUP_009,1633,2457.23,0.012,3964504.71,Pending
ORD_00007,2024-10-12,2024-11-10,JCB,Brake Assembly,Plant_Pune,SUP_018,797,1468.7,0.053,1108514.54,Delivered
ORD_00008,2023-06-17,2023-07-04,Hero MotoCorp,Clutch Kit,Plant_Chennai,SUP_002,827,2305.59,0.139,1641688.44,Delivered
ORD_00009,2023-02-02,2023-03-02,Mahindra,Sensor Array,Plant_Pune,SUP_016,696,3329.09,0.01,2293876.17,Pending
ORD_00010,2024-10-20,2024-11-06,Hero MotoCorp,Control Panel,Plant_Chennai,SUP_019,342,2266.07,0.037,746321.09,Pending
ORD_00011,2024-08-20,2024-09-04,Hero MotoCorp,Wiring Harness,Plant_Delhi,SUP_002,791,1910.7,0.15,1284659.15,Delivered
ORD_00012,2023-06-06,2023-06-29,Gestamp,PCB Assembly,Plant_Ahmedabad,SUP_020,377,6378.22,0.063,2253099.84,Pending
ORD_00013,2024-06-25,2024-07-06,Gestamp,Control Panel,Plant_Chennai,SUP_011,1183,6914.08,0.002,8162997.93,Delivered
ORD_00014,2023-10-28,2023-11-13,JCB,Control Panel,Plant_Pune,SUP_017,373,3739.04,0.143,1195225.27,Delivered
ORD_00015,2024-10-02,2024-10-14,Denso,Sensor Array,Plant_Pune,SUP_018,1773,5183.81,0.091,8354523.67,Cancelled
ORD_00016,2023-01-01,2023-01-23,BMW,Hydraulic Pump,Plant_Pune,SUP_002,713,4011.12,0.017,2811309.77,Delivered
ORD_00017,2024-08-03,2024-08-08,Hero MotoCorp,Gear Box,Plant_Pune,SUP_016,225,5908.88,0.122,1167299.24,Cancelled
ORD_00018,2023-06-19,2023-06-30,Maruti Suzuki,Control Panel,Plant_Pune,SUP_010,1130,7004.98,0.063,7416942.87,Pending
ORD_00019,2024-11-18,2024-12-11,Gestamp,Clutch Kit,Plant_Pune,SUP_003,814,3617.18,0.078,2714722.53,Delivered
ORD_00020,2023-01-22,2023-02-12,Gestamp,Drive Shaft,Plant_Pune,SUP_003,1184,1994.89,0.033,2284005.42,Delivered
ORD_00021,2023-12-05,2023-12-10,Maruti Suzuki,Control Panel,Plant_Pune,SUP_019,1102,2056.44,0.1,2039577.19,Cancelled
ORD_00022,2024-04-29,2024-05-09,Gestamp,Brake Assembly,Plant_Ahmedabad,SUP_012,1656,3889.19,0.061,6047628.22,Pending
ORD_00023,2024-02-25,2024-03-13,Gestamp,Drive Shaft,Plant_Ahmedabad,SUP_011,1819,5886.79,0.101,9626555.84,Delivered
ORD_00024,2023-09-12,2023-09-21,Denso,Hydraulic Pump,Plant_Ahmedabad,SUP_008,439,4383.03,0.021,1883743.02,Delivered
ORD_00025,2024-03-29,2024-04-26,Hero MotoCorp,Drive Shaft,Plant_Delhi,SUP_008,1814,6876.54,0.015,12286932.91,Delivered
ORD_00026,2024-02-21,2024-03-10,Sona Comstar,Gear Box,Plant_Ahmedabad,SUP_001,1035,1867.23,0.06,1816628.07,Pending
ORD_00027,2023-09-29,2023-10-27,Hero MotoCorp,Wiring Harness,Plant_Pune,SUP_007,1657,3749.07,0.063,5820839.82,Delivered
ORD_00028,2023-08-11,2023-08-15,BMW,Drive Shaft,Plant_Delhi,SUP_019,1236,5938.75,0.009,7274232.34,Pending
ORD_00029,2024-05-29,2024-06-28,Gestamp,Gear Box,Plant_Delhi,SUP_020,1137,1427.98,0.144,1389812.95,Delivered
ORD_00030,2024-11-22,2024-12-22,Mahindra,Clutch Kit,Plant_Delhi,SUP_020,531,3349.45,0.141,1527781.28,Delivered
ORD_00031,2024-03-05,2024-03-29,JCB,Clutch Kit,Plant_Chennai,SUP_008,1245,4608.77,0.047,5468236.47,Delivered
ORD_00032,2024-02-10,2024-02-17,Gestamp,Drive Shaft,Plant_Ahmedabad,SUP_020,1425,5234.91,0.069,6945024.22,Cancelled
ORD_00033,2023-04-13,2023-04-18,BMW,Brake Assembly,Plant_Pune,SUP_012,1151,1862.6,0.04,2058098.5,Delivered
ORD_00034,2023-06-11,2023-06-28,Hero MotoCorp,Drive Shaft,Plant_Chennai,SUP_004,1757,4437.1,0.045,7445165.39,Delivered
ORD_00035,2023-09-28,2023-10-04,JCB,Hydraulic Pump,Plant_Pune,SUP_011,1872,1034.88,0.083,1776499.85,Delivered
ORD_00036,2024-12-04,2024-12-27,Sona Comstar,Brake Assembly,Plant_Ahmedabad,SUP_009,1796,2259.07,0.073,3761107.57,Delivered
ORD_00037,2023-01-04,2023-01-17,Denso,Wiring Harness,Plant_Ahmedabad,SUP_018,1629,1220.39,0.147,1695777.06,Delivered
ORD_00038,2023-04-25,2023-04-30,Hero MotoCorp,Drive Shaft,Plant_Chennai,SUP_019,1985,7088.23,0.136,12156597.98,Cancelled
ORD_00039,2023-06-01,2023-06-17,Sona Comstar,Sensor Array,Plant_Pune,SUP_008,311,526.27,0.055,154668.12,Delivered
