inspection_id,order_id,product,plant,inspection_date,batch_size,defects_found,defect_type,inspector_id,passed,defect_rate
INS_00001,ORD_00001,Brake Assembly,Plant_Delhi,2024-10-22,101,0,None,INS_EMP_09,1,0.0
INS_00002,ORD_00002,Control Panel,Plant_Pune,2023-02-05,241,15,Surface Finish,INS_EMP_07,1,0.0622
INS_00003,ORD_00003,PCB Assembly,Plant_Chennai,2023-08-31,1256,35,Dimensional,INS_EMP_01,1,0.0279
INS_00004,ORD_00004,Sensor Array,Plant_Chennai,2023-09-05,739,46,Surface Finish,INS_EMP_02,1,0.0622
INS_00005,ORD_00005,Sensor Array,Plant_Pune,2024-07-09,1938,149,Dimensional,INS_EMP_07,0,0.0769
INS_00006,ORD_00006,Brake Assembly,Plant_Ahmedabad,2024-11-18,1633,110,Functional,INS_EMP_01,1,0.0674
INS_00007,ORD_00007,Brake Assembly,Plant_Pune,2024-11-10,797,0,None,INS_EMP_04,1,0.0
INS_00008,ORD_00008,Clutch Kit,Plant_Chennai,2023-07-04,827,63,Surface Finish,INS_EMP_05,0,0.0762
INS_00009,ORD_00009,Sensor Array,Plant_Pune,2023-03-02,696,47,Functional,INS_EMP_07,1,0.0675
INS_00010,ORD_00010,Control Panel,Plant_Chennai,2024-11-06,342,25,Dimensional,INS_EMP_08,1,0.0731
INS_00011,ORD_00011,Wiring Harness,Plant_Delhi,2024-09-04,791,19,Surface Finish,INS_EMP_01,1,0.024
INS_00012,ORD_00012,PCB Assembly,Plant_Ahmedabad,2023-06-29,377,27,Functional,INS_EMP_10,1,0.0716
INS_00013,ORD_00013,Control Panel,Plant_Chennai,2024-07-06,1183,70,Assembly Error,INS_EMP_04,1,0.0592
INS_00014,ORD_00014,Control Panel,Plant_Pune,2023-11-13,373,0,None,INS_EMP_07,1,0.0
INS_00015,ORD_00015,Sensor Array,Plant_Pune,2024-10-14,1773,69,Dimensional,INS_EMP_08,1,0.0389
INS_00016,ORD_00016,Hydraulic Pump,Plant_Pune,2023-01-23,713,5,Surface Finish,INS_EMP_08,0,0.007
INS_00017,ORD_00017,Gear Box,Plant_Pune,2024-08-08,225,18,Surface Finish,INS_EMP_06,0,0.08
INS_00018,ORD_00018,Control Panel,Plant_Pune,2023-06-30,1130,19,Assembly Error,INS_EMP_03,1,0.0168
